ID,Vendor,Title,Type,Variant Price,custom.moyenne_description,custom.taille,custom.ingredients,custom.routine,custom.info_bestseller,custom.info_cruelty_free,custom.info_vegan,custom.info_clean_beauty,custom.tout_type,custom.peau_grasse,custom.peau_mature,custom.peau_seche,custom.peau_sensible,custom.peau_acneique,updated_at,Variant Compare Price
9717155397973,PURITO SEOUL,From Green Avocado Cleansing Balm,P,21.9,"Le Baume Nettoyant From Green Avocado Cleansing Balm de Purito SEOUL est un soin riche en légumes verts et en huile d'avocat, conçu pour éliminer efficacement le maquillage et les impuretés tout en rafraîchissant la peau.",100 ml,"Éthylhexyl Palmitate, Cétyl Éthylhexanoate, Sorbeth-30 Tétraoléate, Cire Synthétique, Triglycéride Caprylique/Caprique, Huile de Persea Gratissima (Avocat), Huile de Graine de Citrullus Lanatus (Pastèque), Huile de Graine d'Adansonia Digitata (Baobab), Extrait de Feuille de Brassica Oleracea Acephala (Chou Kale), Extrait de Feuille de Spinacia Oleracea (Épinard), Extrait de Brassica Oleracea Italica (Brocoli), Extrait de Feuille d'Artemisia Princeps, Extrait de Feuille de Brassica Oleracea Capitata (Chou), Huile Végétale Hydrogénée, Caprylyl Glycol, Tocophérol.",1,,,,,True,,,True,True,,2025-04-28T16:16:05+02:00,
9717155758421,ROUND LAB,Soybean Nourishing Cleanser,P,15.9,"Le ROUND LAB Soybean Cleanser hydrate, nourrit et exfolie délicatement la peau tout en renforçant la barrière cutanée, idéal pour les peaux sensibles.",150 ml,"Water, Glycerin, Sodium Cocoyl Isethionate, Potassium Cocoyl Glycinate, Cetearyl Alcohol, Sodium C14-16 Olefin Sulfonate, Acrylates Copolymer, Sodium Cocoyl Glutamate, Hydrogenated Coconut Acid, Phaseolus Angularis Seed Powder, Glycine Max (Soybean) Seed Extract, Oryza Sativa (Rice) Powder, AVENA SATIVA (OAT) KERNEL FLOUR, Coix Lacryma-Jobi Ma-yuen Seed Powder, Phaseolus Radiatus Seed Powder, Squalane, Limnanthes Alba (Meadowfoam) Seed Oil, Ceramide NP, Phytosphingosine, Hydrogenated Lecithin, Sodium Isethionate, Potassium Benzoate, Butylene Glycol, Polyquaternium-67, Hexadecene, 1,2- Hexanediol, Trisodium Ethylenediamine Disuccinate, Tetradecene, Sorbitol, Citric Acid",2,,,,True,,,,True,,,2025-04-28T16:16:06+02:00,
9717156577621,BENTON,Let's Carrot Oil Toner,P,21.9,"Le tonique à l'huile de carotte hydrate instantanément et équilibre le pH de la peau, tout en nourrissant et revitalisant grâce à l'huile de carotte.",150 ml,"Eau,Coco-Caprylate/Caprate, Eau de racine de Daucus Carota Sativa (Carotte) (48 000 ppm), Glycérine, Huile de graines d'Helianthus annuus (Tournesol), Triglycéride caprylique/caprique, 1,2-Hexanediol, Sulfate de magnésium, Glycol pentylène, Caprylate de glycéryle, Huile de Canola, Huile de graines de Vitis Vinifera (Raisin), Huile d'Persea Gratissima (Avocat), Propanediol, Huile d'Olea Europaea (Olive), Gluconate de sodium, Laurate de polyglycéryl-10, Glycyrrhizate de dipotassium, Huile de graines d'Olea Europaea (Olive), Myristate de polyglycéryl-10, Allantoïne, Éthylhexylglycérine, Huile de Santalum Album (Sandalwood), Huile de graines de Daucus Carota Sativa (Carotte) (100 ppm), Huile végétale, Huile de feuilles de Melaleuca Alternifolia (Arbre à thé), Extrait de racine de Daucus Carota Sativa (Carotte) (66 ppm), Extrait de fleur de Chrysanthemum Morifolium, Extrait de fleur de Rosa Centifolia, Extrait de Lavendula Angustifolia (Lavande), Acétate de tocophéryle, Bêta-carotène, Huile de Mentha Piperita (Menthe poivrée), Tocophérol.",4,,,,,True,,,,,,2025-04-28T16:16:07+02:00,
9717156938069,MIXSOON,Toner Pad Bifida,P,24.9,"Les tampons tonifiants hydratants hydratent intensément, apaisent et régénèrent la peau, tout en renforçant sa barrière et en rééquilibrant le microbiome grâce au ferment Bifida et à l'acide hyaluronique.",120 pièces,"Aqua, butylène glycol , glycérine , dipropylène glycol , saccharomyces/filtrat de ferment de riz, 1,2-hexanediol , huile de graines de Limnanthes Alba (mousse ) , cellulose microcristalline, pentylène glycol , panthénol , gomme de cellulose , glycérine, acrylates /polymère croisé d'acrylate d'alkyle C10-30, adénosine , diphényl diméthicone , triéthylhexanoïne, distéarate de polyglycéryl-3 méthylglucose, EDTA disodique , lécithine hydrogénée , myristate de polyglycéryl-10, sesquistéarate de méthylglucose , cétéaryl glucoside, lysat de ferment Bifida (20 ppm), lysat de ferment Lactobacillus , ferment Streptococcus Thermophilus, tocophérol , sodium Hyaluronate , phosphate d'ascorbyle de sodium, céramide NP , hyaluronate d'hydroxypropyltrimonium, acide hyaluronique hydrolysé , hyaluronate acétylé de sodium, hyaluronate de potassium, polymère croisé d'hyaluronate de sodium , hyaluronate de sodium hydrolysé , phosphate d'ascorbyle de sodium",4,,,,,,,,True,True,,2025-04-28T16:16:07+02:00,
9717158609237,FARMSTAY,Real Essence,P,2.9,"Ces masques infusés d'essences nourrissantes offrent à votre peau une hydratation et une revitalisation en profondeur, selon ses besoins spécifiques.",23 ml,,5,,,,,True,,,,,,2025-04-28T16:16:09+02:00,
9717159035221,PETITFEE,Dry Essence Hand Pack,P,2.9,"Le Petitfee Dry Essence Hand Pack hydrate profondément les mains, cuticules et ongles, les rendant doux, délicats et renforcés grâce à des ingrédients actifs comme l'aloe vera, le beurre de karité et l'extrait de caviar.",1 piece,"Water, glycerin, butylene glycol, oils of sunflower seed (Helianthus Annuus), cetearyl alcohol, butter Butyrospermum Parkii (Shea), isopropyl myristate, urea, betaine, caprylic / capric triglyceride, glyceryl stearate, sodium hyaluronate, an extract from a vegetable oil, purslane vulgaris, purslane ordinary Witch hazel extract, aloe barbadensis leaf extract, dimethicone, bloosaccharide gum-1, PEG-32, 1,2-hexanediol, polysorbate60, Persea Gratissima (Avacado) oil, Alternifolia meleluk leaf oil (tea tree), steareth-2, stearate – 21 Stearic acid, carbomer, kstrakt citrus Paradisi (grapefruit), collagen, xanthan gum, filter secret snails, allantoin, flavoring, disodium EDTA",,,,,,True,,,,,,2025-04-28T16:16:10+02:00,
9717159133525,SKIN 1004,ZOMBIE BEAUTY - Mummy Pack & Activator Kit,P,32.9,"Le masque tout-en-un réduit les rides, améliore l'élasticité et raffermit la peau, tout en détoxifiant grâce à l'extrait de truffe noire et à la poudre de charbon actif.",,"Water, Butylene Glycol, 1,2-Hexanediol, Niacinamide, Tuber Melanosporum Extract, Glycine Max (Soybean) Seed Extract, Sesamum Indicum (Sesame) Seed Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Euterpe Oleracea Fruit Extract, Vaccinium Myrtillus Fruit Extract, Ribes Nigrum (Black Currant) Fruit Extract, Sambucus Nigra Fruit Extract, Lycium Chinense Fruit Extract, Fragaria Chiloensis (Strawberry) Fruit Extract, Adenosine, Allantoin, Panthenol, Glycerin, Sodium PCA, Disodium EDTA",5,,,,,True,,,,,,2025-04-28T16:16:10+02:00,
9717159231829,SKIN 1004,ZOMBIE BEAUTY - Pumpkin Pack,P,18.9,"Le Zombie Beauty by Skin1004 Pumpkin Pack éclaircit les taches, régénère la peau et apaise les irritations, avec une texture de gel douce qui ne nécessite pas de rinçage.",,"Extrait de fruit de Cucurbita Pepo (citrouille) (61 %), eau, succinate de diéthoxyéthyle, butylène glycol, glycérine, 1,2-hexanediol, bétaïne, tréhalose, arginine, polyglycéryl-10 laurate, polyglycéryl-10 myristate, extrait de racine de Coptis Chinensis, carbomère , Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Ethylhexylglycerin, Tocopheryl Acetate, Sodium Polyacrylate, Xanthan Gum, Parfum, Honey Extract, Glyceryl Acrylate/Acrylic Acid Copolymer, Adénosine, Coco-glucoside, Honey, Royal Jelly Extract , EDTA disodique, caramel, extrait de propolis, hyaluronate de sodium, extrait de Centella Asiatica, eau florale de Rosa Damascena, triglycéride caprylique/caprique, huile de fruit Olea Europaea (olive), lécithine hydrogénée, squalane, beurre de butyrospermum parkii (karité), cholestérol, céramide NP , Acétylphytosphingosine, Phytosphingosine

",5,,,,,True,,,,,,2025-04-28T16:16:10+02:00,
9717161918805,AROMATICA,Tea Tree Balancing Emulsion,P,29.9,"Cette lotion à l'arbre à thé régule la production de sébum et apaise la peau, tout en offrant les bienfaits cicatrisants de l'huile essentielle de bergamote.",100 ml,"Melaleuca Alternifolia Leaf Extract, Glycerin, Aqua, *Butylene Glycol, *Caprylic/Capric Triglyceride, Niacinamide, *Polyglyceryl-3 Methylglucose Distearate, *Cocos Nucifera Oil, *Coco-Caprylate/Caprate, **Arctium Lappa Root Extract, **Plantago Major Leaf Extract, **Symphytum Officinale Root Extract, 1,2-Hexanediol, Cetearyl Alcohol, *Betaine, *Hydrogenated Olive Oil Unsaponifiables, **Butyrospermum Parkii Butter, **Orbignya Oleifera Seed Oil, Verbena Officinalis Extract, Rosmarinus Officinalis Leaf Extract, Chamomilla Recutita Flower Extract, *Propanediol, Ethylhexylglycerin, Palmitamide Mea, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, ?Citrus Aurantium Bergamia Fruit Oil, Allantoin, *Hydrolyzed Glycosaminoglycans, *Xanthan Gum, Adenosine, Tamarindus Indica Seed Polysaccharide, ?Styrax Benzoin Gum.",9,,,True,True,,True,,,,True,2025-04-28T16:16:14+02:00,
9717162836309,SKIN 1004,Centella Air-Fit Suncream plus,P,22.9,"La crème solaire physique non-nano SPF 50+ PA++++ protège efficacement des rayons UV tout en éclaircissant et en apaisant la peau grâce à la niacinamide, le MadeWhite™ et l'extrait de Centella asiatica.",50 ml,"Centella Asiatica Extract(35.8%), Cyclopentasiloxane, Zinc Oxide, Butyloctyl Salicylate, Titanium Dioxide, Propanediol, Benzotriazolyl Dodecyl p-Cresol, Coptis Chinensis Root Extract, PEG-10 Dimethicone, Niacinamide, Disteardimonium Hectorite, Butylene Glycol, Magnesium Sulfate, 1,2-Hexanediol, Caprylic/Capric Glycerides, Dimethicone, VP/Hexadecene Copolymer, Polymethylsilsesquioxane, Aluminum Hydroxide, Stearic Acid, Sorbitan Sesquioleate, Triethoxycaprylylsilane, Dimethicone Crosspolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Dextrin, Theobroma Cacao (Cocoa) Extract, Pelargonium Graveolens Flower Oil, Water, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Betaine, Scutellaria Baicalensis Root Extract, Polygonum Cuspidatum Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Camellia Sinensis Leaf Extract, Sodium Hyaluronate, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosa Damascena Flower Oil, Pentylene Glycol, Madecassoside, Citronellol, Geraniol, Linalool",10,,,,,True,,,,,,2025-04-28T16:16:15+02:00,
